annotation-ID,annotation-folder-name,edition-URL,full-title,thumbnail-title,year,semester,theme,theme-add-1,theme-add-2,UUID,GD_folder_url,GD_text_url,illustrations_url,captions_url,thumbnail_url,abstract_text_url,bib_text_url,alttext_url,short-title-GD,author,folios,entry-id,entry-cat,entry-cat-add-1,entry-cat-add-2,status-phs,status-DCE,refresh-DCE,done-date
ann_999_fa_99,ann_999_fa_99_Editor_Stucco-example,http://edition640.makingandknowing.org/#/essays/ann_999_fa_99,Stucco-example,Stucco-example,2099,Fall,The Making and Knowing Laboratory,Art and Its Making,,1Q_C73Zq9sfNSnuGdrggBD1i5N7WmpwX1dnHFmohmr0o,https://drive.google.com/open?id=117VPsLGNGtI1cfwD06H-OqR_t3p9jO-x,https://drive.google.com/open?id=1Q_C73Zq9sfNSnuGdrggBD1i5N7WmpwX1dnHFmohmr0o,https://drive.google.com/drive/folders/1yCTqdrxN9W0AdPSihqY20X5xtGVhjYJ7,https://drive.google.com/open?id=1F95Rved4QobngEMZq5qm36YK0ousv7h8TQWXX9LmI3o,https://drive.google.com/open?id=1qgwf622DTns6t0fyCg9lyNo6yHyG9r86,https://drive.google.com/open?id=1PUtBIHK9zpUbeBtVWZcGUNukPJrrlrS6hfaw2LOJWRM,https://drive.google.com/open?id=1MBqPRbtB6se6O1sIAcMeW9qnVctFoktwzbus1Rp5zDU,https://docs.google.com/spreadsheets/d/1AeGh7pPkWgXwJuILWRR3TcxOxy-FWIEpRuPRIgr1QaM,Stucco-example,"Editor, General",29r,p029r_1,casting,,,,published,refresh,11/21/19
ann_001_fa_14,ann_001_fa_14_CataldoVisco_Wax-Tallow,http://edition640.makingandknowing.org/#/essays/ann_001_fa_14,Wax and Tallow: Material Explorations,Wax and Tallow,2014,Fall,The Making and Knowing Laboratory,Knowing Nature,,1307GL5qovGyYjsfiCWTaFhfIsgVnQlso_n-lhQa-urY,https://drive.google.com/open?id=0BwJi-u8sfkVDfjdVNjVyWjZTVmNZMlEwMnVuai1oeGxwa3JlS1VaWWVTQXNLeC1JcWhabzg,https://drive.google.com/open?id=1307GL5qovGyYjsfiCWTaFhfIsgVnQlso_n-lhQa-urY,https://drive.google.com/open?id=0BwJi-u8sfkVDfjFjdEs4NEFsSUd2YTdNTVZLOWdIZEZ6QmxpbkdjWlpLZGoxUVl3S3hPclE,https://docs.google.com/document/d/1UzqqlH0MgL9CdNmt4szhItvp1QQiHlCgi0YPzfOAR7E/edit?usp=drivesdk,https://drive.google.com/file/d/1bUuiorb6o730R6hfTzTwvHtWey1M9Jwf/view?usp=sharing,https://docs.google.com/document/d/19skJ1bklPXbBV3L-SnC_vFEpO5wwm4Mw2h6Uo0XLoiU/edit,https://docs.google.com/document/d/13wb7UBmNhfDwBCG2bxCFvMEBo-pe3azfcfFFQODlDcc/edit,,Wax-Tallow,"Emogene Cataldo, Julianna van Visco",109r,p109r_1,casting,wax process,,phs,published,,
ann_002_fa_14,ann_002_fa_14_LandsmanRowen_One-SidedHollowCastMedals,http://edition640.makingandknowing.org/#/essays/ann_002_fa_14,Molding Hollow on One Side and in Relief on the Other,Molding Hollow on One Side and in Relief on the Other,2014,Fall,The Making and Knowing Laboratory,Art and Its Making,,1K5vI_wtNCUWXTOr1BFgRsmMQMDSrNFGdzmaeyJKRHA4,https://drive.google.com/open?id=0BwJi-u8sfkVDfmlmV1RuaUJjald2bmlQN3V1N0NTdnM2VzVBdDAwTXVnVnQ3b2lmTGFNaEU,https://drive.google.com/open?id=1K5vI_wtNCUWXTOr1BFgRsmMQMDSrNFGdzmaeyJKRHA4,https://drive.google.com/open?id=0BwJi-u8sfkVDfjJzTExYVUdLVkpEeC1LY0pRbGxvZGdTMFNFSTdZU0xib0JhTGFkSXUtN0E,https://docs.google.com/document/d/1dRNL9AtuZcr9XfjULZp1YitA7_FF_KZYdotvdLMgG3Q/edit?usp=drivesdk,https://drive.google.com/file/d/1otMD71jBSz17wfTphmlJhRx6QUeSEoc-/view?usp=sharing,https://docs.google.com/document/d/1IKEz2yXW_90f_6crB-4Uu2XyNkF65nraaapiLbCTgZo/edit,https://docs.google.com/document/d/1dc-oT3sGx9gFsMrQnQLDJTrE3Rkp3an2gX5uU18R13E/edit,,One-Sided Hollow Cast Medals,"Rozemarijn Landsman, Jonah Rowen",92r; 83v,p092r_2; p083v_2,,,,,,,
ann_003_fa_14,ann_003_fa_14_CarlsonKatz_MoldedRoses,http://edition640.makingandknowing.org/#/essays/ann_003_fa_14,Molded Roses in Sixteenth-century France,Molded Roses,2014,Fall,Society and Culture,Knowing Nature,,10_kJBnJ67qrrVBYIw-E9ZZnZXnwu3-XQpHMMRwBslrk,https://drive.google.com/open?id=0BwJi-u8sfkVDflVoU0hUd3RXanJJLTRDZnhiWmd0cUIxX0JjUDlhRmhQdEZZN2psRXc3THc,https://drive.google.com/open?id=10_kJBnJ67qrrVBYIw-E9ZZnZXnwu3-XQpHMMRwBslrk,https://drive.google.com/open?id=0BwJi-u8sfkVDfmkxYmVaR0g5ZjdTVVVWcUthSm8wSHRKWU5XcGZVV0JGV1VZbVdERS1lMTQ,https://docs.google.com/document/d/1rHTYCJn3aCl3vBoxjpwYuetCP0-wuKrF446PP0IvYmc/edit?usp=drivesdk,https://drive.google.com/open?id=1gz--GAlqMsLSgSArOA2cwBP_2loKsZpo,https://docs.google.com/document/d/1axT1qMjva3Y46o25YCp0vjup3bW7c_YydqsgwUNBJeM/edit,https://docs.google.com/document/d/16HN6xVmQk7qpzQSNe7CDGBWiz9UnmPLNRbfODSNzuGw/edit,,Molded Roses,"Raymond Carlson, Jordan Katz",129r; 155r; 155v,p129r_4; p155r_1; p155v_1,casting,,,phs,published,,
ann_004_fa_14,ann_004_fa_14_LandsmanRowen_OriginalPatterns,http://edition640.makingandknowing.org/#/essays/ann_004_fa_14,Creating Original Patterns for Casting in Ms. Fr. 640,Creating Original Patterns for Casting in Ms. Fr. 640,2014,Fall,The Making and Knowing Laboratory,Art and Its Making,,1NnRe2CYpz5d9jb6m-fgMsdpf07Xu2hw2HQA1neRTZUQ,https://drive.google.com/open?id=0BwJi-u8sfkVDfnhzSFV6WXdfWXNwZFIzSUM4RWp0Q28tcXFOZmJaZl91dU04QlBqN3NnVG8,https://drive.google.com/open?id=1NnRe2CYpz5d9jb6m-fgMsdpf07Xu2hw2HQA1neRTZUQ,https://drive.google.com/open?id=0BwJi-u8sfkVDfkZNYmhnV3hzY2Vkd1gwam14NjVMdjc2Z1g1ZnR1UndUeXU0cDh3aG9qZVU,https://docs.google.com/document/d/1xyd9BSYzp0ViS3mXDNO_fOO-OiY9v9xpxrLfBj3d4do/edit?usp=drivesdk,https://drive.google.com/file/d/1TFwlAYwwjNsVlP2DeIat-PGtyxN8dn3A/view?usp=sharing,https://docs.google.com/document/d/1HdT5YONZpKO-MXLTuWerZRDUvP88m9QNoXJKan6ihTc/edit,https://docs.google.com/document/d/151cBqLzVvo9_v62_m_vcQKTed2faOfBx58K8l4z7m2Q/edit,,Original Patterns,"Rozemarijn Landsman, Jonah Rowen",n/a,p042r_2; p050r_2; p139v_1; p156r_1,,,,,,,
ann_005_fa_14,ann_005_fa_14_CarlsonKatz_MoldedLetterPaper,http://edition640.makingandknowing.org/#/essays/ann_005_fa_14,Molding Paper with Raised Letters,Molding Paper with Raised Letters,2014,Fall,The Making and Knowing Laboratory,,,18OqnSFdJneElUpi_CvF1XvAFg-yOZsBxj6b_2DypHUA,https://drive.google.com/open?id=0BwJi-u8sfkVDfmlUdWdYdlczSW5HVmNVam5pN1kwYXBvTlZuSDBXZUJDZlRLTkVmdk92N0k,https://drive.google.com/open?id=18OqnSFdJneElUpi_CvF1XvAFg-yOZsBxj6b_2DypHUA,https://drive.google.com/open?id=0BwJi-u8sfkVDfjhYS281OHgycjBjMXBydVpXNXVteVNXNTJMckFjMm1wSEV0ZGpVdmsyVzg,https://docs.google.com/document/d/1XQHSDnJOTZcCwAOFz7cSLZISZbuGpEw9nAOmW2yfCwc/edit?usp=drivesdk,https://drive.google.com/file/d/1tvd1tuQQvn01c2W2aSiHkzIdIz3mBh_7/view?usp=sharing,https://docs.google.com/document/d/1iKtwXtB7fcNveeB33kfH2kdRBOTf35Snpm50LqV0JP4/edit,https://docs.google.com/document/d/1y-U1A4QxwHGVUvXK3yWS9cl8dGOKa_qfSVwhQ-P2N0I/edit,,Molded Letter Paper,"Raymond Carlson, Jordan Katz",131r,p131r_2,,,,,,,
ann_006_fa_14,ann_006_fa_14_CataldoVisco_CalcinedOysters,http://edition640.makingandknowing.org/#/essays/ann_006_fa_14,Try Burnt Oysters: Deciphering Marginalia,Try Burnt Oysters,2014,Fall,The Making and Knowing Laboratory,Art and Its Making,,1rVBQIZCi0jVluY_BYl7i644D0hQ3OWqcq6_-6uY4vco,https://drive.google.com/open?id=0BwJi-u8sfkVDfmhqN1REeDBidHVCcFp4V1FJakpxVkVNa2F0MnhYaFpnZjQ0SWZfR3F1OVE,https://docs.google.com/document/d/1rVBQIZCi0jVluY_BYl7i644D0hQ3OWqcq6_-6uY4vco/edit,https://drive.google.com/open?id=0BwJi-u8sfkVDfngzQmlCUFl3eENZd3o0clRLN3hYcmc4RW9RRzIwemI1anJ0UXdXbFJsNWc,https://docs.google.com/document/d/1bZp0qm0LXkLn7NLkMfFnHJ0YQzTOdL0q3DOL8xJCxa4/edit?usp=drivesdk,https://drive.google.com/file/d/1lwDxLXhNN9S3x6GwIL4cfBpyrQZsdk5V/view?usp=sharing,https://docs.google.com/document/d/1qDMpJkBbnwmJKvunp7MCwM5RLExX_3rQLT902PcFFms/edit,https://docs.google.com/document/d/1xTRu7S81XdZ9EQh8GacX6B4q2PZCD5bKe3MdEZDnyi8/edit,,Calcined Oysters,"Emogene Cataldo, Julianna van Visco",84v,p084v_2,casting,,,phs,published,,
ann_007_fa_14,ann_007_fa_14_LandsmanRowen_SulfurAndAdditives,http://edition640.makingandknowing.org/#/essays/ann_007_fa_14,Uses of Sulfur for Casting,Uses of Sulfur for Casting,2014,Fall,The Making and Knowing Laboratory,Knowing Nature,,1RT9VZ5Ict0x_6BIWif-xC9gqH-VYhfpvVCeK0sf6ZVc,https://drive.google.com/open?id=0BwJi-u8sfkVDflhIMDlEVnBRZU4xcnNFVTVQcURmNzdqUHJGTDNFdzk1MEdld2Jsenk0bDA,https://drive.google.com/open?id=1RT9VZ5Ict0x_6BIWif-xC9gqH-VYhfpvVCeK0sf6ZVc,https://drive.google.com/open?id=0BwJi-u8sfkVDfkJtdVh5VERXa3g1MXVRV2Q1R3M3UVNMeUhieDk4eFFxazFaWV9yMXVKSFk,https://docs.google.com/document/d/17hfEkgV8QEnrKRuUMlQbavxpcruP0plJd_LUEir8mkM/edit?usp=drivesdk,https://drive.google.com/file/d/19is51sEsJ9w7B5J7WmKg2t4-6uVV79Sk/view?usp=sharing,https://docs.google.com/document/d/1FB4pJA9lu37oVHrFyetVVKx6GmmyI_3WgRYSCLnyG4M/edit,https://docs.google.com/document/d/1Pu6dN_LIg0LNo61LHMsp7V55JxFsgXkzIw2WdOiyFbY/edit,,Sulfur and Additives,"Rozemarijn Landsman, Jonah Rowen",140v; 12r,p140v_1; p012r_1,casting,,,PHS,published,,
ann_008_fa_14,ann_008_fa_14_Mellon_ExcellentMustard,http://edition640.makingandknowing.org/#/essays/ann_008_fa_14,Excellent Mustard,Excellent Mustard,2014,Fall,The Making and Knowing Laboratory,,,1V0GLiYHerhz-qm-oYfoZI_ukDfS4lczPEJVnGiF-O-0,https://drive.google.com/open?id=0BwJi-u8sfkVDfndGNWxMVU00SW1ucGdrcDJuc18xN1dNamQ4NGRjcmh6OGE0V0puaTFDMmM,https://drive.google.com/open?id=1V0GLiYHerhz-qm-oYfoZI_ukDfS4lczPEJVnGiF-O-0,https://drive.google.com/open?id=0BwJi-u8sfkVDfkFlZnU3cno4ZFNONFo1X09GRGJrM0ZjNEVoZkptdElWZ2Ita0ZvYmxpdDA,https://docs.google.com/document/d/158jEc6fY3o1I_qbLN49q0jNoRoJpe7CaysUCr-OtEUk/edit?usp=drivesdk,https://drive.google.com/file/d/1O8Ni6YfIiU_iOWrWDCAtJ7PzTPf1Nc1v/view?usp=sharing,https://docs.google.com/document/d/1lTeNJPxC8CiyX69hddbQ98YY-mKPtW8_xJ_j4jYSiaQ/edit,https://docs.google.com/document/d/11riHe0fawZn36KUN4L43wX78YISrk9dodPLKCKUL-zI/edit,,Excellent Mustard,Diana Mellon,48r,p048r_3,household and daily life,,,PHS,published,,
ann_009_fa_14,ann_009_fa_14_Lee_Magistry,http://edition640.makingandknowing.org/#/essays/ann_009_fa_14,Making Magistry,Making Magistry,2014,Fall,The Making and Knowing Laboratory,Knowing Nature,,12fOKzykn8J--fmftwc-Yghi_uiFex13aw7_hrBV4R1g,https://drive.google.com/open?id=0BwJi-u8sfkVDfklVOFo4VlRzR0VXUGJKLUs0MjNRdms1UnV4b3dHMWFvMTRiR0JFbm5NUkk,https://drive.google.com/open?id=12fOKzykn8J--fmftwc-Yghi_uiFex13aw7_hrBV4R1g,https://drive.google.com/open?id=0BwJi-u8sfkVDfl9ENjVCRFFXeng3ZnA2RUh6djRNUzFCclZtbldwUmphR0U5VG9oektOdzA,https://docs.google.com/document/d/14f0skiab5ZwL6qupVE8Q4GmQV7800qdxyGJs5OUaO48/edit?usp=drivesdk,https://drive.google.com/file/d/1B5sIJTFGrkF_6q5_1_z6cZWI42vSr-3f/view?usp=sharing,https://docs.google.com/document/d/1leLXmlTlbO7pK99ATbsNoe3e_I7SbZWW6PgkfsSNAKo/edit,https://docs.google.com/document/d/1ZTqcDel1UWRkWwXlbSyCp6dG3y1dHtNdZwNK1LovZ6s/edit,,Magistry,Michelle Lee,84r,p084r_3,,,,,,,
